Year,Emissions.CO2 Emissions from Fossil use,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.HFC134a eq Emissions
1750,9.505619891242851,19.019783117809567,2.4400484348220126,86.02230753848028,9.627595522302384,0.0
1751,9.505963229138915,18.91510886993145,2.408379138223796,87.64746362383482,9.809482592041858,0.0
1752,9.510002042484,18.88971181188677,2.397116044064474,89.30332258588894,9.994805920197232,0.0
1753,9.510345380380064,19.121377231171937,2.4106933649875284,90.99046447147384,10.183630425467337,0.0
1754,9.514384193725146,19.50906106501577,2.462065253289928,92.70948028581832,10.376022253012149,0.0
1755,9.518423007070217,19.50045493331169,2.442355143653155,94.46097219957755,10.572048797623424,0.0
1756,10.16917002399398,19.46253659981589,2.4191843248007623,96.2455537597732,10.77177872733308,0.0
1757,10.173208837339072,20.02354066414417,2.507464693488836,98.06385010471888,10.975282007467564,0.0
1758,10.177247650684128,19.93400532918585,2.4797438257676383,99.9164981830059,11.182629925156697,0.0
1759,10.18128646402922,20.14146621388408,2.473528034680374,101.804146976626,11.393895114305533,0.0
1760,10.181629801925288,20.416797144500503,2.4977451961387147,103.7274577283096,11.609151581037976,0.0
1761,11.146511591992294,20.45599016898809,2.509181763168119,105.68710417315891,11.828474729621124,0.0
1762,11.15056976531388,20.45168738197681,2.466504132620002,107.68377277465716,12.05194138887933,0.0
1763,11.15462793863545,20.54517933681397,2.4809921662006778,109.7181629651364,12.279629839107336,1.8880658180558742e-06
1764,11.158686111957016,20.26091721016315,2.4218679309291047,111.79098739078844,12.511619839491829,1.556607236882099e-05
1765,11.162744285278576,20.91915499807752,2.4975540657053723,113.90297216130466,12.74799265605103,3.216390716421616e-05
1766,12.44543696396138,20.853591900632743,2.484408321807168,116.05485710423191,12.988831090102208,3.8479955685754934e-05
1767,12.449495137282948,20.999179455660748,2.482742877953473,118.24739602413388,13.2342195072669,4.120294710262103e-05
1768,12.453553310604535,21.659452113517297,2.585377496021171,120.48135696664856,13.484243867024183,4.362080581410591e-05
1769,12.457611483926115,21.496335350339965,2.542757581499459,122.75752248753436,13.738991752822251,4.601851196139021e-05
1770,12.461669657247674,21.63439757224449,2.551004694202496,125.07668992679912,13.998552402758865,4.845530624147954e-05
1771,13.8109015662802,21.42892110132936,2.4564243021424623,127.43967168800816,14.263016740841415,5.085406344763853e-05
1772,13.814980411869085,21.39461571539237,2.4318788124626445,129.8472955228687,14.532477408837602,5.329839078987125e-05
1773,13.819059257457972,21.59523139318095,2.4375705286194296,132.3004048211914,14.807028798727778,5.5737871791844334e-05
1774,13.823138103046867,22.25970772945681,2.5289119722989657,134.79985890632915,15.08676708577045,5.8143202113613994e-05
1775,13.82721694863575,22.200963290559795,2.497313042888125,137.34653333619792,15.371790262192436,6.052060042549825e-05
1776,15.250358366648666,22.141942125209106,2.4666720786648364,139.9413202099844,15.6621981715155,6.29804342727266e-05
1777,15.254437212237557,22.568710059808843,2.521353634336916,142.58512848064805,15.958092543531516,6.53902037233393e-05
1778,15.25851605782646,22.856080929571224,2.560565943809508,145.27888427332695,16.259577029938374,6.783764836903914e-05
1779,15.26259490341535,22.820635694370733,2.5037124487048943,148.0235312097591,16.566757240649125,7.02529529868436e-05
1780,15.27036922445326,23.24616665378551,2.545624084919035,150.820030738833,16.879740780787113,7.266877053562417e-05
1781,17.074168355278587,23.249655483903965,2.5510926411828296,153.66936247338256,17.19863728838001,7.501217787350634e-05
1782,17.07827094243073,23.34175811891444,2.5181732450692373,156.57252453334536,17.52355847276597,7.754598621387028e-05
1783,17.08606900503191,23.379916787266467,2.5134612747885146,159.53053389540378,17.854618153725387,7.995155170167437e-05
1784,17.090171592184056,23.29404230240209,2.4783164405613816,162.54442674923126,18.1919323013519,8.240594197476147e-05
